participant_id,device,split,action,samples,touch_rows,imu_frames,relative_path,bytes
P01,s21,fewshot,keystroke,5,90,1280,P01/s21/fewshot/keystroke.npz,34043
P01,s21,fewshot,pinch,5,745,580,P01/s21/fewshot/pinch.npz,24209
P01,s21,fewshot,scroll,5,160,895,P01/s21/fewshot/scroll.npz,26917
P01,s21,fewshot,swipe,5,160,835,P01/s21/fewshot/swipe.npz,25931
P01,s21,fewshot,tap,5,39,175,P01/s21/fewshot/tap.npz,9767
P01,s21,test,keystroke,15,229,3840,P01/s21/test/keystroke.npz,92697
P01,s21,test,pinch,3,2192,348,P01/s21/test/pinch.npz,25609
P01,s21,test,scroll,29,1721,5191,P01/s21/test/scroll.npz,137291
P01,s21,test,swipe,2,36,334,P01/s21/test/swipe.npz,13320
P01,s21,test,tap,36,317,1260,P01/s21/test/tap.npz,37370
P02,pixel10,fewshot,keystroke,5,64,1280,P02/pixel10/fewshot/keystroke.npz,33767
P02,pixel10,fewshot,pinch,5,609,580,P02/pixel10/fewshot/pinch.npz,24350
P02,pixel10,fewshot,scroll,5,322,895,P02/pixel10/fewshot/scroll.npz,29696
P02,pixel10,fewshot,swipe,5,235,835,P02/pixel10/fewshot/swipe.npz,27100
P02,pixel10,fewshot,tap,5,95,175,P02/pixel10/fewshot/tap.npz,10130
P02,pixel10,test,keystroke,15,201,3840,P02/pixel10/test/keystroke.npz,91813
P02,pixel10,test,pinch,3,743,348,P02/pixel10/test/pinch.npz,20881
P02,pixel10,test,scroll,23,853,4117,P02/pixel10/test/scroll.npz,107858
P02,pixel10,test,swipe,4,198,668,P02/pixel10/test/swipe.npz,23060
P02,pixel10,test,tap,44,863,1540,P02/pixel10/test/tap.npz,46088
P02,s21,fewshot,keystroke,5,64,1280,P02/s21/fewshot/keystroke.npz,33796
P02,s21,fewshot,pinch,5,520,580,P02/s21/fewshot/pinch.npz,22203
P02,s21,fewshot,scroll,5,304,895,P02/s21/fewshot/scroll.npz,28536
P02,s21,fewshot,swipe,5,223,835,P02/s21/fewshot/swipe.npz,26507
P02,s21,fewshot,tap,5,44,175,P02/s21/fewshot/tap.npz,9870
P02,s21,test,keystroke,15,201,3840,P02/s21/test/keystroke.npz,91923
P02,s21,test,pinch,3,676,348,P02/s21/test/pinch.npz,17870
P02,s21,test,scroll,32,1542,5728,P02/s21/test/scroll.npz,148324
P02,s21,test,swipe,4,93,668,P02/s21/test/swipe.npz,21452
P02,s21,test,tap,37,287,1295,P02/s21/test/tap.npz,37619
P03,pixel10,fewshot,keystroke,5,74,1280,P03/pixel10/fewshot/keystroke.npz,34144
P03,pixel10,fewshot,pinch,5,1134,580,P03/pixel10/fewshot/pinch.npz,30160
P03,pixel10,fewshot,scroll,5,331,895,P03/pixel10/fewshot/scroll.npz,29984
P03,pixel10,fewshot,swipe,5,302,835,P03/pixel10/fewshot/swipe.npz,28052
P03,pixel10,fewshot,tap,5,70,175,P03/pixel10/fewshot/tap.npz,9961
P03,pixel10,test,keystroke,15,201,3840,P03/pixel10/test/keystroke.npz,92698
P03,pixel10,test,pinch,2,475,232,P03/pixel10/test/pinch.npz,15358
P03,pixel10,test,scroll,20,1094,3580,P03/pixel10/test/scroll.npz,98456
P03,pixel10,test,swipe,1,68,167,P03/pixel10/test/swipe.npz,10208
P03,pixel10,test,tap,43,827,1505,P03/pixel10/test/tap.npz,45716
P03,s21,fewshot,keystroke,5,74,1280,P03/s21/fewshot/keystroke.npz,34144
P03,s21,fewshot,pinch,5,1042,580,P03/s21/fewshot/pinch.npz,26107
P03,s21,fewshot,scroll,5,405,895,P03/s21/fewshot/scroll.npz,29627
P03,s21,fewshot,swipe,5,351,835,P03/s21/fewshot/swipe.npz,27493
P03,s21,fewshot,tap,5,24,175,P03/s21/fewshot/tap.npz,9717
P03,s21,test,keystroke,15,215,3840,P03/s21/test/keystroke.npz,92717
P03,s21,test,pinch,3,504,348,P03/s21/test/pinch.npz,17001
P03,s21,test,scroll,26,1212,4654,P03/s21/test/scroll.npz,121920
P03,s21,test,swipe,5,287,835,P03/s21/test/swipe.npz,27190
P03,s21,test,tap,41,390,1435,P03/s21/test/tap.npz,41816
P04,pixel10,fewshot,keystroke,5,62,1280,P04/pixel10/fewshot/keystroke.npz,34053
P04,pixel10,fewshot,pinch,5,1236,580,P04/pixel10/fewshot/pinch.npz,30215
P04,pixel10,fewshot,scroll,5,391,895,P04/pixel10/fewshot/scroll.npz,30210
P04,pixel10,fewshot,swipe,5,318,835,P04/pixel10/fewshot/swipe.npz,28157
P04,pixel10,fewshot,tap,5,150,175,P04/pixel10/fewshot/tap.npz,10585
P04,pixel10,test,keystroke,15,209,3840,P04/pixel10/test/keystroke.npz,92843
P04,pixel10,test,pinch,2,1481,232,P04/pixel10/test/pinch.npz,23546
P04,pixel10,test,scroll,22,2735,3938,P04/pixel10/test/scroll.npz,124936
P04,pixel10,test,swipe,4,259,668,P04/pixel10/test/swipe.npz,23789
P04,pixel10,test,tap,36,1013,1260,P04/pixel10/test/tap.npz,41669
P04,s21,fewshot,keystroke,5,66,1280,P04/s21/fewshot/keystroke.npz,34108
P04,s21,fewshot,pinch,5,1198,580,P04/s21/fewshot/pinch.npz,26378
P04,s21,fewshot,scroll,5,370,895,P04/s21/fewshot/scroll.npz,29449
P04,s21,fewshot,swipe,5,213,835,P04/s21/fewshot/swipe.npz,26560
P04,s21,fewshot,tap,5,37,175,P04/s21/fewshot/tap.npz,9869
P04,s21,test,keystroke,15,195,3840,P04/s21/test/keystroke.npz,92811
P04,s21,test,pinch,2,1060,232,P04/s21/test/pinch.npz,16888
P04,s21,test,scroll,26,2715,4654,P04/s21/test/scroll.npz,133506
P04,s21,test,swipe,2,169,334,P04/s21/test/swipe.npz,14690
P04,s21,test,tap,35,323,1225,P04/s21/test/tap.npz,36489
P05,pixel10,fewshot,keystroke,5,80,1280,P05/pixel10/fewshot/keystroke.npz,34014
P05,pixel10,fewshot,pinch,5,1725,580,P05/pixel10/fewshot/pinch.npz,34216
P05,pixel10,fewshot,scroll,5,278,895,P05/pixel10/fewshot/scroll.npz,28899
P05,pixel10,fewshot,swipe,5,185,835,P05/pixel10/fewshot/swipe.npz,26545
P05,pixel10,fewshot,tap,5,55,175,P05/pixel10/fewshot/tap.npz,9822
P05,pixel10,test,keystroke,15,279,3840,P05/pixel10/test/keystroke.npz,92504
P05,pixel10,test,pinch,4,1619,464,P05/pixel10/test/pinch.npz,31006
P05,pixel10,test,scroll,18,843,3222,P05/pixel10/test/scroll.npz,87655
P05,pixel10,test,swipe,5,407,835,P05/pixel10/test/swipe.npz,28918
P05,pixel10,test,tap,38,538,1330,P05/pixel10/test/tap.npz,39464
P05,s21,fewshot,keystroke,5,82,1280,P05/s21/fewshot/keystroke.npz,33926
P05,s21,fewshot,pinch,5,427,580,P05/s21/fewshot/pinch.npz,22178
P05,s21,fewshot,scroll,5,194,895,P05/s21/fewshot/scroll.npz,27643
P05,s21,fewshot,swipe,5,155,835,P05/s21/fewshot/swipe.npz,25902
P05,s21,fewshot,tap,5,27,175,P05/s21/fewshot/tap.npz,9682
P05,s21,test,keystroke,15,215,3840,P05/s21/test/keystroke.npz,92107
P05,s21,test,pinch,4,959,464,P05/s21/test/pinch.npz,22542
P05,s21,test,scroll,24,947,4296,P05/s21/test/scroll.npz,110835
P05,s21,test,swipe,1,19,167,P05/s21/test/swipe.npz,9414
P05,s21,test,tap,40,252,1400,P05/s21/test/tap.npz,39821
P06,pixel10,fewshot,keystroke,5,68,1280,P06/pixel10/fewshot/keystroke.npz,34183
P06,pixel10,fewshot,pinch,5,1054,580,P06/pixel10/fewshot/pinch.npz,29450
P06,pixel10,fewshot,scroll,5,449,895,P06/pixel10/fewshot/scroll.npz,31228
P06,pixel10,fewshot,swipe,5,273,835,P06/pixel10/fewshot/swipe.npz,27823
P06,pixel10,fewshot,tap,5,56,175,P06/pixel10/fewshot/tap.npz,9879
P06,pixel10,test,keystroke,15,209,3840,P06/pixel10/test/keystroke.npz,92902
P06,pixel10,test,pinch,2,934,232,P06/pixel10/test/pinch.npz,19590
P06,pixel10,test,scroll,29,3624,5191,P06/pixel10/test/scroll.npz,159716
P06,pixel10,test,swipe,1,135,167,P06/pixel10/test/swipe.npz,11069
P06,pixel10,test,tap,35,555,1225,P06/pixel10/test/tap.npz,37492
P06,s21,fewshot,keystroke,5,66,1280,P06/s21/fewshot/keystroke.npz,33861
P06,s21,fewshot,pinch,5,1039,580,P06/s21/fewshot/pinch.npz,25386
P06,s21,fewshot,scroll,5,605,895,P06/s21/fewshot/scroll.npz,31168
P06,s21,fewshot,swipe,5,246,835,P06/s21/fewshot/swipe.npz,26737
P06,s21,fewshot,tap,5,33,175,P06/s21/fewshot/tap.npz,9802
P06,s21,test,keystroke,15,191,3840,P06/s21/test/keystroke.npz,92188
P06,s21,test,pinch,6,1092,696,P06/s21/test/pinch.npz,27807
P06,s21,test,scroll,33,2043,5907,P06/s21/test/scroll.npz,155162
P06,s21,test,swipe,4,97,668,P06/s21/test/swipe.npz,21526
P06,s21,test,tap,37,247,1295,P06/s21/test/tap.npz,37431
P07,pixel10,fewshot,keystroke,5,65,1280,P07/pixel10/fewshot/keystroke.npz,33890
P07,pixel10,fewshot,pinch,5,992,580,P07/pixel10/fewshot/pinch.npz,28332
P07,pixel10,fewshot,scroll,5,276,895,P07/pixel10/fewshot/scroll.npz,29083
P07,pixel10,fewshot,swipe,5,140,835,P07/pixel10/fewshot/swipe.npz,26044
P07,pixel10,fewshot,tap,5,48,175,P07/pixel10/fewshot/tap.npz,9777
P07,pixel10,test,keystroke,15,193,3840,P07/pixel10/test/keystroke.npz,91838
P07,pixel10,test,pinch,3,1388,348,P07/pixel10/test/pinch.npz,26434
P07,pixel10,test,scroll,19,1357,3401,P07/pixel10/test/scroll.npz,97013
P07,pixel10,test,swipe,2,342,334,P07/pixel10/test/swipe.npz,17284
P07,pixel10,test,tap,36,667,1260,P07/pixel10/test/tap.npz,38598
P07,s21,fewshot,keystroke,5,64,1280,P07/s21/fewshot/keystroke.npz,33824
P07,s21,fewshot,pinch,5,541,580,P07/s21/fewshot/pinch.npz,22979
P07,s21,fewshot,scroll,5,205,895,P07/s21/fewshot/scroll.npz,27789
P07,s21,fewshot,swipe,5,110,835,P07/s21/fewshot/swipe.npz,25558
P07,s21,fewshot,tap,5,24,175,P07/s21/fewshot/tap.npz,9657
P07,s21,test,keystroke,15,233,3840,P07/s21/test/keystroke.npz,92175
P07,s21,test,pinch,5,1185,580,P07/s21/test/pinch.npz,26284
P07,s21,test,scroll,28,1152,5012,P07/s21/test/scroll.npz,128758
P07,s21,test,swipe,2,143,334,P07/s21/test/swipe.npz,14361
P07,s21,test,tap,45,290,1575,P07/s21/test/tap.npz,44041
P08,pixel10,fewshot,keystroke,5,66,1280,P08/pixel10/fewshot/keystroke.npz,34124
P08,pixel10,fewshot,pinch,5,1236,580,P08/pixel10/fewshot/pinch.npz,30928
P08,pixel10,fewshot,scroll,5,254,895,P08/pixel10/fewshot/scroll.npz,28807
P08,pixel10,fewshot,swipe,5,211,835,P08/pixel10/fewshot/swipe.npz,26872
P08,pixel10,fewshot,tap,5,104,175,P08/pixel10/fewshot/tap.npz,10237
P08,pixel10,test,keystroke,15,231,3840,P08/pixel10/test/keystroke.npz,92369
P08,pixel10,test,pinch,8,1526,928,P08/pixel10/test/pinch.npz,40368
P08,pixel10,test,scroll,39,2551,6981,P08/pixel10/test/scroll.npz,191436
P08,pixel10,test,swipe,10,475,1670,P08/pixel10/test/swipe.npz,48835
P08,pixel10,test,tap,39,882,1365,P08/pixel10/test/tap.npz,42640
P08,s21,fewshot,keystroke,5,68,1280,P08/s21/fewshot/keystroke.npz,33870
P08,s21,fewshot,pinch,5,698,580,P08/s21/fewshot/pinch.npz,24214
P08,s21,fewshot,scroll,5,240,895,P08/s21/fewshot/scroll.npz,28004
P08,s21,fewshot,swipe,5,189,835,P08/s21/fewshot/swipe.npz,26240
P08,s21,fewshot,tap,5,56,175,P08/s21/fewshot/tap.npz,10089
P08,s21,test,keystroke,15,191,3840,P08/s21/test/keystroke.npz,91999
P08,s21,test,pinch,4,667,464,P08/s21/test/pinch.npz,20789
P08,s21,test,scroll,55,3362,9845,P08/s21/test/scroll.npz,256380
P08,s21,test,swipe,3,108,501,P08/s21/test/swipe.npz,17865
P08,s21,test,tap,42,264,1470,P08/s21/test/tap.npz,41583
P09,pixel10,fewshot,keystroke,5,64,1280,P09/pixel10/fewshot/keystroke.npz,34111
P09,pixel10,fewshot,pinch,5,698,580,P09/pixel10/fewshot/pinch.npz,25905
P09,pixel10,fewshot,scroll,5,270,895,P09/pixel10/fewshot/scroll.npz,29203
P09,pixel10,fewshot,swipe,5,254,835,P09/pixel10/fewshot/swipe.npz,27519
P09,pixel10,fewshot,tap,5,104,175,P09/pixel10/fewshot/tap.npz,10254
P09,pixel10,test,keystroke,15,187,3840,P09/pixel10/test/keystroke.npz,92620
P09,pixel10,test,pinch,2,1026,232,P09/pixel10/test/pinch.npz,20709
P09,pixel10,test,scroll,20,3805,3580,P09/pixel10/test/scroll.npz,127849
P09,pixel10,test,swipe,1,156,167,P09/pixel10/test/swipe.npz,11401
P09,pixel10,test,tap,35,860,1225,P09/pixel10/test/tap.npz,39281
P09,s21,fewshot,keystroke,5,66,1280,P09/s21/fewshot/keystroke.npz,34098
P09,s21,fewshot,pinch,5,706,580,P09/s21/fewshot/pinch.npz,24138
P09,s21,fewshot,scroll,5,198,895,P09/s21/fewshot/scroll.npz,27660
P09,s21,fewshot,swipe,5,179,835,P09/s21/fewshot/swipe.npz,26157
P09,s21,fewshot,tap,5,33,175,P09/s21/fewshot/tap.npz,9796
P09,s21,test,keystroke,15,185,3840,P09/s21/test/keystroke.npz,91949
P09,s21,test,pinch,2,541,232,P09/s21/test/pinch.npz,13903
P09,s21,test,scroll,36,2426,6444,P09/s21/test/scroll.npz,170979
P09,s21,test,swipe,1,83,167,P09/s21/test/swipe.npz,9999
P09,s21,test,tap,38,314,1330,P09/s21/test/tap.npz,38582
P10,pixel10,fewshot,keystroke,5,62,1280,P10/pixel10/fewshot/keystroke.npz,34045
P10,pixel10,fewshot,pinch,5,665,580,P10/pixel10/fewshot/pinch.npz,25297
P10,pixel10,fewshot,scroll,5,181,895,P10/pixel10/fewshot/scroll.npz,28114
P10,pixel10,fewshot,swipe,5,137,835,P10/pixel10/fewshot/swipe.npz,26367
P10,pixel10,fewshot,tap,5,63,175,P10/pixel10/fewshot/tap.npz,9914
P10,pixel10,test,keystroke,15,211,3840,P10/pixel10/test/keystroke.npz,92861
P10,pixel10,test,pinch,9,1348,1044,P10/pixel10/test/pinch.npz,42135
P10,pixel10,test,scroll,29,931,5191,P10/pixel10/test/scroll.npz,133643
P10,pixel10,test,swipe,3,93,501,P10/pixel10/test/swipe.npz,18111
P10,pixel10,test,tap,48,667,1680,P10/pixel10/test/tap.npz,48663
P10,s21,fewshot,keystroke,5,72,1280,P10/s21/fewshot/keystroke.npz,34179
P10,s21,fewshot,pinch,5,848,580,P10/s21/fewshot/pinch.npz,25242
P10,s21,fewshot,scroll,5,165,895,P10/s21/fewshot/scroll.npz,27561
P10,s21,fewshot,swipe,5,209,835,P10/s21/fewshot/swipe.npz,26498
P10,s21,fewshot,tap,5,20,175,P10/s21/fewshot/tap.npz,9688
P10,s21,test,keystroke,15,195,3840,P10/s21/test/keystroke.npz,92984
P10,s21,test,pinch,19,2323,2204,P10/s21/test/pinch.npz,72374
P10,s21,test,scroll,24,692,4296,P10/s21/test/scroll.npz,109957
P10,s21,test,swipe,1,30,167,P10/s21/test/swipe.npz,9569
P10,s21,test,tap,45,324,1575,P10/s21/test/tap.npz,44807
P11,pixel10,fewshot,keystroke,5,69,1280,P11/pixel10/fewshot/keystroke.npz,34156
P11,pixel10,fewshot,pinch,5,821,580,P11/pixel10/fewshot/pinch.npz,26631
P11,pixel10,fewshot,scroll,5,208,895,P11/pixel10/fewshot/scroll.npz,28499
P11,pixel10,fewshot,swipe,5,280,835,P11/pixel10/fewshot/swipe.npz,27970
P11,pixel10,fewshot,tap,5,97,175,P11/pixel10/fewshot/tap.npz,10179
P11,pixel10,test,keystroke,15,185,3840,P11/pixel10/test/keystroke.npz,92705
P11,pixel10,test,pinch,5,2708,580,P11/pixel10/test/pinch.npz,42913
P11,pixel10,test,scroll,46,2899,8234,P11/pixel10/test/scroll.npz,221091
P11,pixel10,test,swipe,12,710,2004,P11/pixel10/test/swipe.npz,58628
P11,pixel10,test,tap,37,809,1295,P11/pixel10/test/tap.npz,40334
P11,s21,fewshot,keystroke,5,62,1280,P11/s21/fewshot/keystroke.npz,34074
P11,s21,fewshot,pinch,5,537,580,P11/s21/fewshot/pinch.npz,22810
P11,s21,fewshot,scroll,5,167,895,P11/s21/fewshot/scroll.npz,27463
P11,s21,fewshot,swipe,5,175,835,P11/s21/fewshot/swipe.npz,26015
P11,s21,fewshot,tap,5,50,175,P11/s21/fewshot/tap.npz,9963
P11,s21,test,keystroke,15,185,3840,P11/s21/test/keystroke.npz,92485
P11,s21,test,pinch,3,861,348,P11/s21/test/pinch.npz,18969
P11,s21,test,scroll,37,1911,6553,P11/s21/test/scroll.npz,170167
P11,s21,test,swipe,5,553,835,P11/s21/test/swipe.npz,28742
P11,s21,test,tap,35,301,1225,P11/s21/test/tap.npz,36283
P12,pixel10,fewshot,keystroke,5,59,1280,P12/pixel10/fewshot/keystroke.npz,34149
P12,pixel10,fewshot,pinch,5,1182,580,P12/pixel10/fewshot/pinch.npz,30257
P12,pixel10,fewshot,scroll,5,221,895,P12/pixel10/fewshot/scroll.npz,28555
P12,pixel10,fewshot,swipe,5,214,835,P12/pixel10/fewshot/swipe.npz,27113
P12,pixel10,fewshot,tap,5,108,175,P12/pixel10/fewshot/tap.npz,10268
P12,pixel10,test,keystroke,15,197,3840,P12/pixel10/test/keystroke.npz,92720
P12,pixel10,test,pinch,4,757,464,P12/pixel10/test/pinch.npz,23445
P12,pixel10,test,scroll,25,2247,4405,P12/pixel10/test/scroll.npz,130468
P12,pixel10,test,swipe,3,106,501,P12/pixel10/test/swipe.npz,18205
P12,pixel10,test,tap,37,781,1295,P12/pixel10/test/tap.npz,40419
P12,s21,fewshot,keystroke,5,64,1280,P12/s21/fewshot/keystroke.npz,34133
P12,s21,fewshot,pinch,5,928,580,P12/s21/fewshot/pinch.npz,25216
P12,s21,fewshot,scroll,5,358,895,P12/s21/fewshot/scroll.npz,29071
P12,s21,fewshot,swipe,5,126,835,P12/s21/fewshot/swipe.npz,25708
P12,s21,fewshot,tap,5,48,175,P12/s21/fewshot/tap.npz,9984
P12,s21,test,keystroke,15,187,3840,P12/s21/test/keystroke.npz,92747
P12,s21,test,pinch,4,734,464,P12/s21/test/pinch.npz,20895
P12,s21,test,scroll,42,3520,7518,P12/s21/test/scroll.npz,202868
P12,s21,test,swipe,7,414,1169,P12/s21/test/swipe.npz,35797
P12,s21,test,tap,42,286,1470,P12/s21/test/tap.npz,41966
P13,pixel10,fewshot,keystroke,5,74,1280,P13/pixel10/fewshot/keystroke.npz,34049
P13,pixel10,fewshot,pinch,5,1365,580,P13/pixel10/fewshot/pinch.npz,31360
P13,pixel10,fewshot,scroll,5,1165,895,P13/pixel10/fewshot/scroll.npz,38563
P13,pixel10,fewshot,swipe,5,398,835,P13/pixel10/fewshot/swipe.npz,29155
P13,pixel10,fewshot,tap,5,63,175,P13/pixel10/fewshot/tap.npz,9926
P13,pixel10,test,keystroke,15,295,3840,P13/pixel10/test/keystroke.npz,92531
P13,pixel10,test,pinch,12,2957,1392,P13/pixel10/test/pinch.npz,63897
P13,pixel10,test,scroll,19,1167,3401,P13/pixel10/test/scroll.npz,95448
P13,pixel10,test,swipe,5,271,835,P13/pixel10/test/swipe.npz,27531
P13,pixel10,test,tap,41,714,1435,P13/pixel10/test/tap.npz,43149
P13,s21,fewshot,keystroke,5,74,1280,P13/s21/fewshot/keystroke.npz,34024
P13,s21,fewshot,pinch,5,759,580,P13/s21/fewshot/pinch.npz,24059
P13,s21,fewshot,scroll,5,258,895,P13/s21/fewshot/scroll.npz,28419
P13,s21,fewshot,swipe,5,209,835,P13/s21/fewshot/swipe.npz,26416
P13,s21,fewshot,tap,5,38,175,P13/s21/fewshot/tap.npz,9827
P13,s21,test,keystroke,15,257,3840,P13/s21/test/keystroke.npz,92574
P13,s21,test,pinch,4,1032,464,P13/s21/test/pinch.npz,22054
P13,s21,test,scroll,30,1182,5370,P13/s21/test/scroll.npz,137697
P13,s21,test,swipe,2,66,334,P13/s21/test/swipe.npz,13699
P13,s21,test,tap,43,363,1505,P13/s21/test/tap.npz,43274
P14,pixel10,fewshot,keystroke,5,68,1280,P14/pixel10/fewshot/keystroke.npz,34197
P14,pixel10,fewshot,pinch,5,1508,580,P14/pixel10/fewshot/pinch.npz,33948
P14,pixel10,fewshot,scroll,5,229,895,P14/pixel10/fewshot/scroll.npz,28452
P14,pixel10,fewshot,swipe,5,198,835,P14/pixel10/fewshot/swipe.npz,26846
P14,pixel10,fewshot,tap,5,95,175,P14/pixel10/fewshot/tap.npz,10201
P14,pixel10,test,keystroke,15,307,3840,P14/pixel10/test/keystroke.npz,93269
P14,pixel10,test,pinch,5,1816,580,P14/pixel10/test/pinch.npz,36229
P14,pixel10,test,scroll,26,1141,4654,P14/pixel10/test/scroll.npz,123757
P14,pixel10,test,swipe,4,145,668,P14/pixel10/test/swipe.npz,22445
P14,pixel10,test,tap,50,719,1750,P14/pixel10/test/tap.npz,50525
P14,s21,fewshot,keystroke,5,86,1280,P14/s21/fewshot/keystroke.npz,34228
P14,s21,fewshot,pinch,5,1128,580,P14/s21/fewshot/pinch.npz,26729
P14,s21,fewshot,scroll,5,210,895,P14/s21/fewshot/scroll.npz,27989
P14,s21,fewshot,swipe,5,167,835,P14/s21/fewshot/swipe.npz,26142
P14,s21,fewshot,tap,5,20,175,P14/s21/fewshot/tap.npz,9635
P14,s21,test,keystroke,15,311,3840,P14/s21/test/keystroke.npz,93203
P14,s21,test,pinch,3,1671,348,P14/s21/test/pinch.npz,23603
P14,s21,test,scroll,47,2348,8413,P14/s21/test/scroll.npz,216200
P14,s21,test,swipe,6,204,1002,P14/s21/test/swipe.npz,30213
P14,s21,test,tap,39,206,1365,P14/s21/test/tap.npz,38874
P15,pixel10,fewshot,keystroke,5,63,1280,P15/pixel10/fewshot/keystroke.npz,34157
P15,pixel10,fewshot,pinch,5,985,580,P15/pixel10/fewshot/pinch.npz,28514
P15,pixel10,fewshot,scroll,5,191,895,P15/pixel10/fewshot/scroll.npz,28144
P15,pixel10,fewshot,swipe,5,253,835,P15/pixel10/fewshot/swipe.npz,27685
P15,pixel10,fewshot,tap,5,79,175,P15/pixel10/fewshot/tap.npz,10043
P15,pixel10,test,keystroke,15,193,3840,P15/pixel10/test/keystroke.npz,92667
P15,pixel10,test,pinch,5,1123,580,P15/pixel10/test/pinch.npz,28858
P15,pixel10,test,scroll,22,1382,3938,P15/pixel10/test/scroll.npz,110165
P15,pixel10,test,swipe,5,541,835,P15/pixel10/test/swipe.npz,31196
P15,pixel10,test,tap,35,629,1225,P15/pixel10/test/tap.npz,37766
P15,s21,fewshot,keystroke,5,78,1280,P15/s21/fewshot/keystroke.npz,34205
P15,s21,fewshot,pinch,5,590,580,P15/s21/fewshot/pinch.npz,23376
P15,s21,fewshot,scroll,5,238,895,P15/s21/fewshot/scroll.npz,28265
P15,s21,fewshot,swipe,5,279,835,P15/s21/fewshot/swipe.npz,27143
P15,s21,fewshot,tap,5,19,175,P15/s21/fewshot/tap.npz,9632
P15,s21,test,keystroke,15,203,3840,P15/s21/test/keystroke.npz,92844
P15,s21,test,pinch,6,868,696,P15/s21/test/pinch.npz,27219
P15,s21,test,scroll,34,1190,6086,P15/s21/test/scroll.npz,154815
P15,s21,test,swipe,2,70,334,P15/s21/test/swipe.npz,13808
P15,s21,test,tap,41,189,1435,P15/s21/test/tap.npz,40347
P16,pixel10,fewshot,keystroke,5,105,1280,P16/pixel10/fewshot/keystroke.npz,34137
P16,pixel10,fewshot,pinch,5,1144,580,P16/pixel10/fewshot/pinch.npz,29895
P16,pixel10,fewshot,scroll,5,239,895,P16/pixel10/fewshot/scroll.npz,28489
P16,pixel10,fewshot,swipe,5,208,835,P16/pixel10/fewshot/swipe.npz,26455
P16,pixel10,fewshot,tap,5,66,175,P16/pixel10/fewshot/tap.npz,9935
P16,pixel10,test,keystroke,15,225,3840,P16/pixel10/test/keystroke.npz,92256
P16,pixel10,test,pinch,3,1059,348,P16/pixel10/test/pinch.npz,23728
P16,pixel10,test,scroll,19,891,3401,P16/pixel10/test/scroll.npz,92302
P16,pixel10,test,swipe,4,363,668,P16/pixel10/test/swipe.npz,24845
P16,pixel10,test,tap,38,803,1330,P16/pixel10/test/tap.npz,42178
P16,s21,fewshot,keystroke,5,78,1280,P16/s21/fewshot/keystroke.npz,33943
P16,s21,fewshot,pinch,5,855,580,P16/s21/fewshot/pinch.npz,24578
P16,s21,fewshot,scroll,5,167,895,P16/s21/fewshot/scroll.npz,27366
P16,s21,fewshot,swipe,5,180,835,P16/s21/fewshot/swipe.npz,26035
